                    2	0	ACT0	4	1	 048d
                    4	0	ACT1	4	1	 048d
                    6	0	RD0	4	1	 17
                    8	0	RD1	4	1	 17
                   10	0	PRE	4	1	 
                   12	0	ACT0	4	1	 048d
                   14	0	ACT1	4	1	 048d
                   16	0	RD0	4	1	 17
                   18	0	RD1	4	1	 17
                   20	0	PRE	4	1	 
                   22	0	ACT0	4	1	 048d
                   24	0	ACT1	4	1	 048d
                   26	0	RD0	4	1	 17
                   28	0	RD1	4	1	 17
                   30	0	PRE	4	1	 
                   32	0	ACT0	4	1	 048d
                   34	0	ACT1	4	1	 048d
                   36	0	RD0	4	1	 17
                   38	0	RD1	4	1	 17
                   40	0	PRE	4	1	 
                   42	0	ACT0	4	1	 048d
                   44	0	ACT1	4	1	 048d
                   46	0	RD0	4	1	 17
                   48	0	RD1	4	1	 17
                   50	0	PRE	4	1	 
                   52	0	ACT0	4	1	 048d
                   54	0	ACT1	4	1	 048d
                   56	0	RD0	4	1	 17
                   58	0	RD1	4	1	 17
                   60	0	PRE	4	1	 
                   62	0	ACT0	4	1	 048d
                   64	0	ACT1	4	1	 048d
                   66	0	RD0	4	1	 17
                   68	0	RD1	4	1	 17
                   70	0	PRE	4	1	 
                   72	0	ACT0	4	1	 048d
                   74	0	ACT1	4	1	 048d
                   76	0	RD0	4	1	 17
                   78	0	RD1	4	1	 17
                   80	0	PRE	4	1	 
                   82	0	ACT0	4	1	 048d
                   84	0	ACT1	4	1	 048d
                   86	0	RD0	4	1	 17
                   88	0	RD1	4	1	 17
                   90	0	PRE	4	1	 
                   92	0	ACT0	4	1	 048d
                   94	0	ACT1	4	1	 048d
                   96	0	RD0	4	1	 17
                   98	0	RD1	4	1	 17
                  100	0	PRE	4	1	 
                  102	0	ACT0	4	1	 048d
                  104	0	ACT1	4	1	 048d
                  106	0	RD0	4	1	 17
                  108	0	RD1	4	1	 17
                  110	0	PRE	4	1	 
                  112	0	ACT0	4	1	 048d
                  114	0	ACT1	4	1	 048d
                  116	0	RD0	4	1	 17
                  118	0	RD1	4	1	 17
                  120	0	PRE	4	1	 
                  122	0	ACT0	4	1	 048d
                  124	0	ACT1	4	1	 048d
                  126	0	RD0	4	1	 17
                  128	0	RD1	4	1	 17
                  130	0	PRE	4	1	 
                  132	0	ACT0	4	1	 048d
                  134	0	ACT1	4	1	 048d
                  136	0	RD0	4	1	 17
                  138	0	RD1	4	1	 17
                  140	0	PRE	4	1	 
                  142	0	ACT0	4	1	 048d
                  144	0	ACT1	4	1	 048d
                  146	0	RD0	4	1	 17
                  148	0	RD1	4	1	 17
                  150	0	PRE	4	1	 
                  152	0	ACT0	4	1	 048d
                  154	0	ACT1	4	1	 048d
                  156	0	RD0	4	1	 17
                  158	0	RD1	4	1	 17
                  160	0	PRE	4	1	 
                  162	0	ACT0	4	1	 048d
                  164	0	ACT1	4	1	 048d
                  166	0	RD0	4	1	 17
                  168	0	RD1	4	1	 17
                  170	0	PRE	4	1	 
                  172	0	ACT0	4	1	 048d
                  174	0	ACT1	4	1	 048d
                  176	0	RD0	4	1	 17
                  178	0	RD1	4	1	 17
                  180	0	PRE	4	1	 
                  182	0	ACT0	4	1	 048d
                  184	0	ACT1	4	1	 048d
                  186	0	RD0	4	1	 17
                  188	0	RD1	4	1	 17
                  190	0	PRE	4	1	 
                  192	0	ACT0	4	1	 048d
                  194	0	ACT1	4	1	 048d
                  196	0	RD0	4	1	 17
                  198	0	RD1	4	1	 17
                  200	0	PRE	4	1	 
                  202	0	ACT0	4	1	 048d
                  204	0	ACT1	4	1	 048d
                  206	0	RD0	4	1	 17
                  208	0	RD1	4	1	 17
                  210	0	PRE	4	1	 
                  212	0	ACT0	4	1	 048d
                  214	0	ACT1	4	1	 048d
                  216	0	RD0	4	1	 17
                  218	0	RD1	4	1	 17
                  220	0	PRE	4	1	 
                  222	0	ACT0	4	1	 048d
                  224	0	ACT1	4	1	 048d
                  226	0	RD0	4	1	 17
                  228	0	RD1	4	1	 17
                  230	0	PRE	4	1	 
                  232	0	ACT0	4	1	 048d
                  234	0	ACT1	4	1	 048d
                  236	0	RD0	4	1	 17
                  238	0	RD1	4	1	 17
                  240	0	PRE	4	1	 
                  242	0	ACT0	4	1	 048d
                  244	0	ACT1	4	1	 048d
                  246	0	RD0	4	1	 17
                  248	0	RD1	4	1	 17
                  250	0	PRE	4	1	 
                  252	0	ACT0	4	1	 048d
                  254	0	ACT1	4	1	 048d
                  256	0	RD0	4	1	 17
                  258	0	RD1	4	1	 17
                  260	0	PRE	4	1	 
                  262	0	ACT0	4	1	 048d
                  264	0	ACT1	4	1	 048d
                  266	0	RD0	4	1	 17
                  268	0	RD1	4	1	 17
                  270	0	PRE	4	1	 
                  272	0	ACT0	4	1	 048d
                  274	0	ACT1	4	1	 048d
                  276	0	RD0	4	1	 17
                  278	0	RD1	4	1	 17
                  280	0	PRE	4	1	 
                  282	0	ACT0	4	1	 048d
                  284	0	ACT1	4	1	 048d
                  286	0	RD0	4	1	 17
                  288	0	RD1	4	1	 17
                  290	0	PRE	4	1	 
                  292	0	ACT0	4	1	 048d
                  294	0	ACT1	4	1	 048d
                  296	0	RD0	4	1	 17
                  298	0	RD1	4	1	 17
                  300	0	PRE	4	1	 
                  302	0	ACT0	4	1	 048d
                  304	0	ACT1	4	1	 048d
                  306	0	RD0	4	1	 17
                  308	0	RD1	4	1	 17
                  310	0	PRE	4	1	 
                  312	0	ACT0	4	1	 048d
                  314	0	ACT1	4	1	 048d
                  316	0	RD0	4	1	 17
                  318	0	RD1	4	1	 17
                  320	0	PRE	4	1	 
                  322	0	ACT0	4	1	 048d
                  324	0	ACT1	4	1	 048d
                  326	0	RD0	4	1	 17
                  328	0	RD1	4	1	 17
                  330	0	PRE	4	1	 
                  332	0	ACT0	4	1	 048d
                  334	0	ACT1	4	1	 048d
                  336	0	RD0	4	1	 17
                  338	0	RD1	4	1	 17
                  340	0	PRE	4	1	 
                  342	0	ACT0	4	1	 048d
                  344	0	ACT1	4	1	 048d
                  346	0	RD0	4	1	 17
                  348	0	RD1	4	1	 17
                  350	0	PRE	4	1	 
                  352	0	ACT0	4	1	 048d
                  354	0	ACT1	4	1	 048d
                  356	0	RD0	4	1	 17
                  358	0	RD1	4	1	 17
                  360	0	PRE	4	1	 
                  362	0	ACT0	4	1	 048d
                  364	0	ACT1	4	1	 048d
                  366	0	RD0	4	1	 17
                  368	0	RD1	4	1	 17
                  370	0	PRE	4	1	 
                  372	0	ACT0	4	1	 048d
                  374	0	ACT1	4	1	 048d
                  376	0	RD0	4	1	 17
                  378	0	RD1	4	1	 17
                  380	0	PRE	4	1	 
                  382	0	ACT0	4	1	 048d
                  384	0	ACT1	4	1	 048d
                  386	0	RD0	4	1	 17
                  388	0	RD1	4	1	 17
                  390	0	PRE	4	1	 
                  392	0	ACT0	4	1	 048d
                  394	0	ACT1	4	1	 048d
                  396	0	RD0	4	1	 17
                  398	0	RD1	4	1	 17
                  400	0	PRE	4	1	 
                  402	0	ACT0	4	1	 048d
                  404	0	ACT1	4	1	 048d
                  406	0	RD0	4	1	 17
                  408	0	RD1	4	1	 17
                  410	0	PRE	4	1	 
                  412	0	ACT0	4	1	 048d
                  414	0	ACT1	4	1	 048d
                  416	0	RD0	4	1	 17
                  418	0	RD1	4	1	 17
                  420	0	PRE	4	1	 
                  422	0	ACT0	4	1	 048d
                  424	0	ACT1	4	1	 048d
                  426	0	RD0	4	1	 17
